temperature;soilMoisture;precipitation;ndvi;evatrasporation;Level
NULL;3.365;0;NULL;NULL;529.296
NULL;4.383;0;NULL;NULL;568.55
NULL;4.421;0.029;NULL;NULL;550.414
15.159;4.171;0;4.477;165;525.55
NULL;3.906;0;NULL;NULL;519.806
NULL;2.935;0;NULL;NULL;515.31
15.43;4.095;0;4.848;224;562.73
15.158;5.106;8.345;4.451;;546.075
NULL;4.089;0;NULL;NULL;539.368
15.157;3.652;0;3.954;195;544.709
NULL;4.055;0;4.804;227;543.077
NULL;4.094;0;4.432;220;568.95
NULL;3.69;0;NULL;NULL;531.236
15.395;4.045;0;4.796;227;528.772
15.022;5.372;0;5.721;265;568.344
15.194;4.849;5.461;4.381;229;550.114
NULL;4.229;0;NULL;NULL;525.64
15.127;3.804;0;3.836;;519.213
15.275;2.916;0;5.539;186;514.362
NULL;4.079;0;NULL;NULL;561.808
NULL;4.956;0;NULL;NULL;545.756
NULL;4.09;0;NULL;NULL;539.108
NULL;3.517;0;NULL;NULL;543.828
NULL;4.046;0;NULL;NULL;542.444
NULL;4.083;0;NULL;NULL;567.916
NULL;3.6;0;NULL;NULL;530.68
NULL;4.399;0;NULL;NULL;528.317
NULL;6.097;0;NULL;NULL;569.167
NULL;4.49;0.12;NULL;NULL;550.032
NULL;5.069;26.691;NULL;NULL;525.626
NULL;3.806;0;NULL;NULL;518.578
NULL;2.869;0;NULL;NULL;513.423
NULL;4.329;0;NULL;NULL;560.871
NULL;4.356;0;NULL;NULL;545.771
NULL;4.064;0;NULL;NULL;538.803
NULL;3.423;0;NULL;NULL;542.955
NULL;3.999;0;NULL;NULL;541.778
NULL;4.047;0;NULL;NULL;566.843
NULL;3.467;0;NULL;NULL;530.114
NULL;3.997;0;NULL;NULL;527.95
NULL;5.787;0;NULL;NULL;571.758
NULL;4.33;0;NULL;NULL;549.902
NULL;4.949;0;NULL;NULL;526.48
NULL;3.829;0;NULL;NULL;517.918
NULL;2.852;0;NULL;NULL;512.494
NULL;4.022;0;NULL;NULL;559.976
NULL;4.217;0;NULL;NULL;545.73
NULL;4.052;0;NULL;NULL;538.45
NULL;3.391;0;NULL;NULL;542.088
NULL;3.882;0;NULL;NULL;541.072
NULL;4.081;0;NULL;NULL;565.734
NULL;3.285;0;NULL;NULL;529.549
NULL;3.844;0;NULL;NULL;527.591
NULL;5.014;0;NULL;NULL;574.798
NULL;4.253;0;NULL;NULL;549.56
NULL;4.469;0;NULL;NULL;527.807
NULL;3.665;0;NULL;NULL;517.255
NULL;3.766;0;NULL;NULL;511.579
NULL;3.826;0;NULL;NULL;559.079
NULL;4.19;0;NULL;NULL;545.593
NULL;4.065;4.962;NULL;NULL;538.053
NULL;3.433;0;NULL;NULL;541.23
NULL;3.821;0;NULL;NULL;540.273
NULL;4.07;0;NULL;NULL;564.601
NULL;3.125;0;NULL;NULL;528.989
NULL;3.704;0;NULL;NULL;527.204
NULL;4.89;0;NULL;NULL;577.046
NULL;4.177;0;NULL;NULL;549.105
NULL;4.292;0;NULL;NULL;528.829
NULL;3.454;0;NULL;NULL;516.594
NULL;3.875;0;NULL;NULL;510.671
NULL;3.88;6.379;NULL;NULL;558.117
NULL;4.527;0;NULL;NULL;545.367
NULL;4.76;0;NULL;NULL;537.641
NULL;3.975;4.195;NULL;NULL;540.38
NULL;3.724;0;NULL;NULL;539.421
NULL;4.014;0;NULL;NULL;563.454
